date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:09	100134/100134	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Mar%202022%2014:54:07%20GMT	https://www.ubagroup.com/alumni/	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/index.html	(from )
15:54:09	84/84	---M-Z	200	added ('OK')	text/plain	etag:%225c-59d4458d14540-gzip%22	https://www.ubagroup.com/robots.txt		(from )
15:54:10	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2030%20Mar%202022%2014:54:10%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Emmanuel%20LEO/Downloads/united/www.googletagmanager.com/gtm.05445.delayed	(from https://www.ubagroup.com/alumni/)
15:54:11	199/199	---M--	403	error ('Forbidden')	text/html	date:Wed,%2030%20Mar%202022%2014:54:10%20GMT	https://www.ubagroup.com/alumni/xmlrpc.php	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/xmlrpc.php	(from https://www.ubagroup.com/alumni/)
15:54:11	10719/10719	---M-Z	200	added ('OK')	text/css	etag:%2229df-5b77e1284ad64-gzip%22	https://www.ubagroup.com/alumni/wp-content/plugins/event-organiser/lib/leaflet/leaflet.min.css?ver=1.4.0	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/plugins/event-organiser/lib/leaflet/leaflet.min2fca.css	(from https://www.ubagroup.com/alumni/)
15:54:12	25752/25752	---MC-	200	added ('OK')	application/rss+xml	etag:%2214d55f34af22bc237ad6a008259fa5f4%22	https://www.ubagroup.com/alumni/feed/	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/feed/index.html	(from https://www.ubagroup.com/alumni/)
15:54:12	693/693	---M-Z	200	added ('OK')	text/css	etag:%222b5-5d9c61f56b24b-gzip%22	https://www.ubagroup.com/alumni/wp-content/plugins/gtranslate/gtranslate-style24.css?ver=5.8.4	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/plugins/gtranslate/gtranslate-style2469c8.css	(from https://www.ubagroup.com/alumni/)
15:54:12	786/786	---M--	200	added ('OK')	application/rss+xml	etag:%22558a86359c086fe4e29596343078036f%22	https://www.ubagroup.com/alumni/comments/feed/	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/comments/feed/index.html	(from https://www.ubagroup.com/alumni/)
15:54:14	80574/80574	---M-Z	200	added ('OK')	text/css	etag:%2213abe-5cd9b892a0600-gzip%22	https://www.ubagroup.com/alumni/wp-includes/css/dist/block-library/style.min.css?ver=5.8.4	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-includes/css/dist/block-library/style.min69c8.css	(from https://www.ubagroup.com/alumni/)
15:54:15	3809/3809	---M-Z	200	added ('OK')	text/css	etag:%22ee1-5adb12b1275c0-gzip%22	https://www.ubagroup.com/alumni/wp-content/plugins/appbanners/lib/smartbanner/jquery.smartbanner.min.css?ver=5.8.4	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/plugins/appbanners/lib/smartbanner/jquery.smartbanner.min69c8.css	(from https://www.ubagroup.com/alumni/)
15:54:16	3106/3106	---M-Z	200	added ('OK')	text/css	etag:%22c22-5d9c61bf1fe7a-gzip%22	https://www.ubagroup.com/alumni/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-public.css?ver=2.1.1	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-publice1fc.css	(from https://www.ubagroup.com/alumni/)
15:54:17	27249/27249	---M-Z	200	added ('OK')	text/css	etag:%226a71-5d9c61bf1eef8-gzip%22	https://www.ubagroup.com/alumni/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-gdpr.css?ver=2.1.1	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-gdpre1fc.css	(from https://www.ubagroup.com/alumni/)
15:54:17	1825/1825	---M-Z	200	added ('OK')	text/css	etag:%22721-5adb12b30fa40-gzip%22	https://www.ubagroup.com/alumni/wp-content/plugins/team-showcase-pro.dd/assets/css/normalize.css?ver=5.8.4	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/plugins/team-showcase-pro.dd/assets/css/normalize69c8.css	(from https://www.ubagroup.com/alumni/)
15:54:18	24192/24192	---M-Z	200	added ('OK')	text/css	etag:%225e80-5adb12b30fa40-gzip%22	https://www.ubagroup.com/alumni/wp-content/plugins/team-showcase-pro.dd/assets/css/font-awesome.css?ver=5.8.4	C:/Users/Emmanuel%20LEO/Downloads/united/www.ubagroup.com/alumni/wp-content/plugins/team-showcase-pro.dd/assets/css/font-awesome69c8.css	(from https://www.ubagroup.com/alumni/)
